,0,1
399,79.92008,62.400787
400,80.11988,62.491653
401,80.31968,62.58233
402,80.51948,62.672848
403,80.719284,62.76321
404,80.91908,62.853413
405,81.11888,62.94346
406,81.31868,63.0333
407,81.51848,63.12304
408,81.718285,63.21256
409,81.91808,63.301926
410,82.11788,63.391132
411,82.31768,63.480164
412,82.51748,63.56903
413,82.717285,63.657764
414,82.91708,63.746296
415,83.11688,63.834675
416,83.31668,63.92286
417,83.51649,64.0109
418,83.716286,64.098785
419,83.916084,64.1865
420,84.11588,64.27404
421,84.31568,64.36142
422,84.51549,64.44862
423,84.71529,64.53568
424,84.915085,64.62253
425,85.11488,64.70924
426,85.31468,64.795784
427,85.51449,64.88217
428,85.71429,64.96838
429,85.914085,65.05445
430,86.113884,65.140335
431,86.31368,65.22603
432,86.51349,65.31157
433,86.71329,65.39697
434,86.913086,65.48218
435,87.112885,65.567245
436,87.31269,65.65214
437,87.51249,65.73685
438,87.71229,65.821396
439,87.91209,65.90581
440,88.111885,65.99001
441,88.31169,66.074104
442,88.51149,66.15801
443,88.71129,66.24176
444,88.91109,66.325325
445,89.110886,66.40872
446,89.31069,66.492004
447,89.51049,66.57507
448,89.71029,66.658005
449,89.91009,66.74076
450,90.10989,66.82338
451,90.30969,66.9058
452,90.50949,66.98809
453,90.70929,67.07023
454,90.90909,67.15218
455,91.108894,67.23398
456,91.30869,67.3156
457,91.50849,67.39708
458,91.70829,67.47841
459,91.90809,67.55956
460,92.107895,67.640564
461,92.30769,67.72142
462,92.50749,67.80211
463,92.70729,67.88265
464,92.90709,67.96302
465,93.106895,68.04325
466,93.306694,68.12329
467,93.50649,68.20322
468,93.70629,68.28296
469,93.9061,68.36256
470,94.105896,68.44202
471,94.305695,68.52131
472,94.50549,68.600426
473,94.70529,68.67943
474,94.9051,68.75823
475,95.1049,68.83694
476,95.304695,68.91546
477,95.50449,68.99383
478,95.70429,69.07207
479,95.9041,69.15012
480,96.1039,69.22808
481,96.303696,69.30585
482,96.503494,69.38348
483,96.7033,69.46097
484,96.9031,69.53831
485,97.1029,69.6155
486,97.3027,69.69253
487,97.502495,69.76945
488,97.7023,69.84621
489,97.9021,69.92277
490,98.1019,69.99926
491,98.3017,70.0756
492,98.501495,70.151764
493,98.7013,70.227806
494,98.9011,70.30368
495,99.1009,70.37946
496,99.3007,70.45505
497,99.500496,70.530525
498,99.7003,70.605865
499,99.9001,70.681076
500,100.0999,70.75612
501,100.2997,70.83104
502,100.499504,70.90583
503,100.6993,70.98045
504,100.8991,71.05497
505,101.0989,71.12933
506,101.2987,71.203575
507,101.498505,71.277664
508,101.6983,71.35164
509,101.8981,71.4255
