,0
389,25877.803
390,25864.281
391,25850.764
392,25837.258
393,25823.758
394,25810.27
395,25796.785
396,25783.31
397,25769.848
398,25756.389
399,25742.94
400,25729.5
401,25716.064
402,25702.639
403,25689.225
404,25675.814
405,25662.414
406,25649.021
407,25635.633
408,25622.258
409,25608.893
410,25595.531
411,25582.176
412,25568.83
413,25555.494
414,25542.166
415,25528.848
416,25515.531
417,25502.225
418,25488.934
419,25475.643
420,25462.357
421,25449.086
422,25435.822
423,25422.56
424,25409.31
425,25396.072
426,25382.84
427,25369.611
428,25356.389
429,25343.18
430,25329.975
431,25316.783
432,25303.592
433,25290.414
434,25277.238
435,25264.072
436,25250.916
437,25237.764
438,25224.62
439,25211.482
440,25198.354
441,25185.232
442,25172.12
443,25159.008
444,25145.908
445,25132.81
446,25119.723
447,25106.633
448,25093.555
449,25080.479
450,25067.4
451,25054.322
452,25041.238
453,25028.145
454,25015.031
455,25001.873
456,24988.62
457,24975.172
458,24961.209
459,24945.578
460,24922.83
461,24910.928
462,24885.914
463,24878.172
464,24864.33
465,24846.29
466,24839.729
467,24819.94
468,24809.84
469,24797.137
470,24780.752
471,24770.143
472,24755.152
473,24741.842
474,24730.143
475,24715.396
476,24702.244
477,24690.006
478,24675.354
479,24663.38
480,24649.893
481,24636.002
482,24623.934
483,24609.85
484,24597.066
485,24584.217
486,24570.46
487,24557.855
488,24544.541
489,24531.291
490,24518.572
491,24505.137
492,24492.184
493,24479.215
494,24465.906
495,24453.111
496,24439.914
497,24426.857
498,24413.96
499,24400.752
500,24387.889
501,24374.81
502,24361.77
503,24348.875
504,24335.77
505,24322.877
506,24309.863
507,24296.877
508,24283.975
509,24270.953
510,24258.06
511,24245.092
512,24232.156
513,24219.256
514,24206.297
515,24193.426
516,24180.488
517,24167.605
518,24154.71
519,24141.82
520,24128.955
521,24116.064
522,24103.219
523,24090.348
524,24077.502
525,24064.658
526,24051.814
527,24038.992
528,24026.16
529,24013.354
530,24000.533
531,23987.736
532,23974.934
533,23962.145
534,23949.357
535,23936.584
536,23923.814
537,23911.047
538,23898.295
539,23885.54
540,23872.8
541,23860.06
542,23847.33
543,23834.605
544,23821.887
545,23809.178
546,23796.475
547,23783.775
548,23771.086
549,23758.402
550,23745.723
551,23733.053
552,23720.389
553,23707.73
554,23695.08
555,23682.434
556,23669.797
557,23657.166
558,23644.54
559,23631.926
560,23619.309
561,23606.705
562,23594.105
563,23581.518
564,23568.928
565,23556.35
566,23543.777
567,23531.215
568,23518.652
569,23506.104
570,23493.553
571,23481.014
572,23468.479
573,23455.953
574,23443.43
575,23430.916
576,23418.41
577,23405.908
578,23393.414
579,23380.922
580,23368.445
581,23355.967
582,23343.5
583,23331.035
584,23318.584
585,23306.13
586,23293.686
587,23281.25
588,23268.82
589,23256.395
590,23243.98
591,23231.57
592,23219.16
593,23206.766
594,23194.375
595,23181.988
596,23169.607
597,23157.232
598,23144.87
599,23132.508
600,23120.156
601,23107.805
602,23095.465
603,23083.13
604,23070.8
605,23058.48
606,23046.166
607,23033.854
608,23021.55
609,23009.258
610,22996.965
611,22984.684
612,22972.404
613,22960.133
614,22947.867
615,22935.607
616,22923.354
617,22911.107
618,22898.87
619,22886.637
620,22874.408
621,22862.186
622,22849.973
623,22837.764
624,22825.56
625,22813.363
626,22801.172
627,22788.988
628,22776.81
629,22764.643
630,22752.479
631,22740.32
